EVENT ID,EVENT DESCRIPTION,ATT&CK DATA SOURCE ID,ATT&CK DATA SOURCE,ATT&CK DATA COMPONENT,SOURCE,RELATIONSHIP,TARGET
dns_EDNS_addl_reply,Generated for DNS replies of type EDNS.,DS0029,Network Traffic,Network Traffic Flow,Process,Communicate Through,Dns
dns_EDNS_ecs_reply,Generated for DNS replies of type EDNS.,DS0029,Network Traffic,Network Traffic Flow,Process,Communicate Through,Dns
dns_HINFO_reply,Generated for DNS replies of type HINFO.,DS0029,Network Traffic,Network Traffic Flow,Process,Communicate Through,Dns
dns_MX_reply,Generated for DNS replies of type MX.,DS0029,Network Traffic,Network Traffic Flow,Process,Communicate Through,Dns
dns_NSEC_reply,Generated for DNS replies of type NSEC.,DS0029,Network Traffic,Network Traffic Flow,Process,Communicate Through,Dns
dns_NSEC_reply,Generated for DNS replies of type NSEC3.,DS0029,Network Traffic,Network Traffic Flow,Process,Communicate Through,Dns
dns_NS_reply,Generated for DNS replies of type NS.,DS0029,Network Traffic,Network Traffic Flow,Process,Communicate Through,Dns
dns_PTR_reply,Generated for DNS replies of type PTR.,DS0029,Network Traffic,Network Traffic Flow,Process,Communicate Through,Dns
dns_RRSIG_reply,Generated for DNS replies of type RRSIG.,DS0029,Network Traffic,Network Traffic Flow,Process,Communicate Through,Dns
dns_SOA_reply,Generated for DNS replies of type SOA.,DS0029,Network Traffic,Network Traffic Flow,Process,Communicate Through,Dns
dns_SPF_reply,Generated for DNS replies of type SPF.,DS0029,Network Traffic,Network Traffic Flow,Process,Communicate Through,Dns
dns_SRV_reply,Generated for DNS replies of type SRV.,DS0029,Network Traffic,Network Traffic Flow,Process,Communicate Through,Dns
dns_TSIG_reply,Generated for DNS replies of type TSIG.,DS0029,Network Traffic,Network Traffic Flow,Process,Communicate Through,Dns
dns_TXT_reply,Generated for DNS replies of type TXT.,DS0029,Network Traffic,Network Traffic Flow,Process,Communicate Through,Dns
dns_WKS_reply,Generated for DNS replies of type WKS.,DS0029,Network Traffic,Network Traffic Flow,Process,Communicate Through,Dns
ftp_request,Generated for client-side FTP commands.,DS0029,Network Traffic,Network Traffic Flow,Process/User,Communicate Through,Ftp
ftp_reply,Generated for server-side FTP replies.,DS0029,Network Traffic,Network Traffic Flow,Host,Communicate Through,Ftp
smb2_close_response,Generated for SMB/CIFS version 2 responses of type close.,DS0029,Network Traffic,Network Traffic Flow,Service,Communicate Through,Smb2
smb2_create_response,Generated for SMB/CIFS version 2 responses of type create.,DS0029,Network Traffic,Network Traffic Flow,Service,Communicate Through,Smb2
pop3_request,Generated for client-side commands on POP3 connections.,DS0029,Network Traffic,Network Traffic Flow,Process/User,Communicate Through,Pop3
pop3_reply,Generated for server-side replies to commands on POP3 connections.,DS0029,Network Traffic,Network Traffic Flow,Process/User,Communicate Through,Pop3
smtp_request,Generated for client-side SMTP commands.,DS0029,Network Traffic,Network Traffic Flow,Process/User,Communicate Through,Smtp
smtp_reply,Generated for server-side SMTP commands.,DS0029,Network Traffic,Network Traffic Flow,Host,Communicate Through,Smtp
dhcp_message,Generated for all DHCP messages.,DS0029,Network Traffic,Network Traffic Flow,Process,Communicate Through,Dhcp
icmp_echo_request,Generated for ICMP echo request messages.,DS0029,Network Traffic,Network Traffic Flow,Command Execution,Communicate Through,Icmp
icmp_echo_reply,Generated for ICMP echo reply messages.,DS0029,Network Traffic,Network Traffic Flow,Command Execution,Communicate Through,Icmp
dce_rpc_request,Generated for every DCE-RPC request message.,DS0029,Network Traffic,Network Traffic Flow,Process,Communicate Through,Rpc
dce_rpc_reply,Generated for every DCE-RPC reply message.,DS0029,Network Traffic,Network Traffic Flow,Process,Communicate Through,Rpc
http_request,Generated for HTTP requests.,DS0029,Network Traffic,Network Traffic Flow,Process/User,Communicate Through,Http
http_reply,Generated for HTTP replies.,DS0029,Network Traffic,Network Traffic Flow,Host,Communicate Through,Http
udp_reply,Generated for each packet sent by a UDP flow’s responder.,DS0029,Network Traffic,Network Traffic Flow,Service,Communicate Through,Udp
udp_request,Generated for each packet sent by a UDP flow’s originator.,DS0029,Network Traffic,Network Traffic Flow,Service,Communicate Through,Udp
